,0
0,4583
1,921
2,1033
3,1160
4,1090
5,999
6,930
7,1160
8,979
9,979
10,1076
11,1838
12,1908
13,2271
14,1765
15,1651
16,1422
17,1715
18,1644
19,1738
20,1123
21,1008
22,873
23,807
24,1169
25,2636
26,2534
27,1943
28,1810
29,1730
30,2037
31,1796
32,1844
33,1738
34,1761
35,2160
36,1673
37,1721
38,1504
39,1242
40,1011
41,1163
42,1135
43,1095
44,952
45,1296
46,2665
47,2140
48,2327
49,2676
50,2296
51,2392
52,1953
53,2308
54,2500
55,2413
56,2208
57,1970
58,1692
59,2307
60,1688
61,1767
62,896
63,763
64,967
65,1257
66,1736
67,1933
68,1657
69,1535
70,1737
71,1608
72,1680
73,1954
74,1725
75,1717
76,1839
77,1695
78,1655
79,1815
80,1658
81,1466
82,1378
83,1523
84,1818
85,1820
86,1825
87,1680
88,1818
89,1537
90,1560
91,1729
92,1832
93,1458
94,1962
95,1990
96,1695
97,1898
98,1723
99,1784
100,2278
101,1688
102,1898
103,1606
104,2310
105,2188
106,1613
107,3442
108,2217
109,1761
110,1401
111,1530
112,1922
113,1688
114,1140
115,1350
116,1285
117,1811
118,2087
119,2118
120,1790
121,1608
122,1316
123,1350
124,1207
125,1100
126,1066
127,1148
128,1336
129,1436
130,1612
131,1505
132,1348
133,1236
134,1045
135,971
136,1061
137,1160
138,1193
139,1244
140,1468
141,1185
142,1101
143,1169
144,872
145,970
146,1714
147,1135
148,1146
149,933
150,1080
151,996
152,931
153,739
154,914
155,1025
156,1577
157,1323
158,1273
159,1012
160,1104
161,892
162,802
163,2846
164,872
165,643
166,734
167,811
168,716
169,747
170,738
171,863
172,775
173,982
174,742
175,812
176,1279
177,1338
178,845
179,1155
180,886
181,1011
182,1220
183,1159
184,1063
185,1153
186,1054
187,794
188,888
189,855
190,1326
191,1250
192,1121
193,1164
194,1078
195,1225
196,1631
197,1903
198,1400
199,1188
200,1124
201,1283
202,1060
203,1246
204,933
205,1170
206,1066
207,14601
208,1552
209,968
210,960
211,1306
212,709
213,922
214,1193
215,2229
216,2381
217,2531
218,1257
219,1368
220,1351
221,1561
222,1587
223,32275
224,9245
225,2427
226,1606
227,1658
228,1648
229,1295
230,1541
231,1443
232,1358
233,1493
234,1414
235,1274
236,1524
237,1827
238,1742
239,1844
240,1410
241,1701
242,32684
243,7718
244,4834
245,3893
246,3276
247,2518
248,1890
249,2313
250,1241
251,1078
252,883
253,1075
254,857
255,904
256,1144
257,1403
258,1467
259,1619
260,1458
261,1248
262,1295
263,1298
264,1202
265,1327
266,1196
267,1363
268,1379
269,1061
270,889
271,867
272,1209
273,1282
274,1212
275,1300
276,1435
277,1330
278,1326
279,1348
280,1575
281,1402
282,1130
283,1138
284,1316
285,1367
286,1078
287,1445
288,1239
289,1256
290,1412
291,1340
292,1055
293,1116
294,1278
295,925
296,963
297,1193
298,1029
299,1192
300,1280
301,1619
302,1033
303,1068
304,1359
305,1196
306,1430
307,1612
308,1318
309,1780
310,1386
311,1314
312,1350
313,1340
314,1196
315,945
316,1144
317,1220
318,1216
319,881
320,979
321,1462
322,1468
323,1324
324,1063
325,1451
326,1143
327,1242
328,899
329,1028
330,1100
331,1273
332,1234
333,1035
334,964
335,929
336,1082
337,1028
338,1087
339,1020
340,1346
341,1343
342,1259
343,1276
344,1321
345,1050
346,1141
347,1321
348,1124
349,899
350,1011
351,992
352,1007
353,1297
354,1166
355,1138
356,961
357,973
358,914
359,861
360,774
361,881
362,1507
363,1572
364,1323
365,1210
366,1446
367,1226
368,1511
369,1531
370,1053
371,1134
372,1218
373,1233
374,1237
375,1387
376,1319
377,1135
378,1034
379,1342
380,1297
381,1110
382,1300
383,1197
384,856
385,825
386,893
387,683
388,719
389,1022
390,1046
391,982
392,934
393,757
394,731
395,766
396,745
397,838
398,1079
399,860
400,849
401,934
402,940
403,1073
404,1599
405,1025
406,1212
407,1245
408,1023
409,946
410,1294
411,842
412,797
413,829
414,788
415,900
